time,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-04-17,0.20931752,0.0038151722,0.38572866,0.90654004,0.16456315,0.32398668,0.68032986,0.24840643
1981-04-18,0.04756365,0.15535183,0.17988126,1.0893172,2.6170342,0.08346865,0.5063833,1.9368628
1981-04-19,1.4133812,1.1966834,2.1801162,0.7676624,0.6737117,0.21388113,0.045983583,0.054939967
1981-04-20,0.32850823,0.02426935,0.07794761,0.00076420483,0.03351929,0.001014747,5.1365507e-05,0.00048995134
1981-04-21,0.051406372,0.20513104,0.036254283,0.033924248,0.57538265,1.0577034,0.08593512,0.022684228
1981-04-22,0.0021975283,0.0,0.0028339967,0.0,0.005785458,0.00015548867,0.00074354594,0.0002288421
1981-04-23,0.09089803,0.09315998,0.89156467,0.3637845,0.17224091,0.31873587,0.13399874,0.08186353
1981-04-24,1.298915,0.6113961,0.953703,0.301616,0.030221673,0.0733045,0.0256211,0.007911669
1981-04-25,1.1408905,1.044416,0.03956904,0.08678155,0.8406941,0.041142453,0.05584213,0.07911947
1981-04-26,8.712647,4.965273,3.0976584,3.4185426,5.5460434,1.620387,1.6260026,2.264853
1981-04-27,7.668514,2.795171,2.2052016,0.3960557,0.4402629,0.2646448,0.4320931,0.39125866
1981-04-28,0.0,0.24227186,0.02438037,0.50734925,0.86832047,0.0048367656,0.4181747,0.85078454
1981-04-29,0.005940397,0.0036510509,0.042224266,0.0,0.05085082,0.01835769,0.0017948148,0.0
1981-04-30,0.0128694605,7.229331e-05,0.060751785,0.0,0.006843967,0.076354966,0.0011084422,0.0
1981-05-01,0.0,0.00043160093,0.0,0.0,0.0,0.0028583372,0.0,0.0
1981-05-02,0.000120914585,6.6093074e-17,0.003699635,5.399475e-06,0.019167881,0.0006511233,0.00026310724,9.704116e-17
1981-05-03,1.7057057e-16,2.0102437e-16,0.02006856,1.5005304e-16,0.00332639,0.00043938047,2.3544846e-06,2.7555986e-16
1981-05-04,0.017984284,0.03738137,0.09207173,0.008680397,0.008170317,0.00014011719,0.0067367093,0.0
