z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-04-30 12:00:00,0.108592145,0.21943605,0.21190189,0.1477336,0.092361145,0.22297461,0.16782913,0.12318077
1981-05-01 12:00:00,0.020446396,0.10000518,0.121770956,0.09646539,0.058170028,0.049361955,0.057195842,0.034674823
1981-05-02 12:00:00,0.011354497,0.05895,0.09994167,0.08094395,0.045002904,0.07607222,0.08020611,0.038721003
1981-05-03 12:00:00,0.0053911055,0.030262785,0.031046065,0.028649999,0.019669836,0.012430319,0.016787399,0.0115414355
1981-05-04 12:00:00,0.0036011557,0.018445773,0.021063136,0.017684266,0.0109820785,0.0085341325,0.010497812,0.0065891026
1981-05-05 12:00:00,0.029219398,0.23945549,0.12592329,0.13744952,0.09731639,0.040812302,0.06192563,0.044407066
1981-05-06 12:00:00,0.78287756,5.6279397,2.059398,1.8891684,0.9509665,0.58099174,0.5881312,0.31848726
1981-05-07 12:00:00,0.05492567,0.40756932,0.25791043,0.2657192,0.18856353,0.08921034,0.12669258,0.0884784
1981-05-08 12:00:00,0.02683244,0.21382947,0.11995621,0.119655706,0.07993595,0.040696084,0.054628793,0.03612649
1981-05-09 12:00:00,0.0,2.4574559,1.4275467,1.3148497,0.0,0.57276773,0.0,0.0
1981-05-10 12:00:00,0.055661373,0.43252003,0.2215561,0.19997029,0.11296696,0.8488841,0.099486805,0.05967732
1981-05-11 12:00:00,0.036937427,0.22276102,0.22589907,0.1977323,0.12492556,0.115345195,0.13376935,0.076657586
1981-05-12 12:00:00,0.014538248,0.09837901,0.07344988,0.069152184,0.049052134,0.02702356,0.035729088,0.024750387
1981-05-13 12:00:00,0.0,0.017272195,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-14 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-15 12:00:00,0.012772511,0.0881832,0.065577015,0.061582796,0.040110286,0.02500078,0.032849845,0.021535309
1981-05-16 12:00:00,0.004751236,0.02580959,0.027964018,0.024737759,0.016404686,0.011299071,0.014617375,0.00975186
